assembly	member_kind	android_type	android_token	android_name	android_ordinal	switch_type	switch_token	switch_name	switch_ordinal	switch_rva_hex	rank	score	margin_to_second	status	type_pair_source	type_pair_authority	android_type_signature	switch_type_signature	evidence
Assembly-CSharp	field	AACAFOBANOH	0x04000594	GCAABNKEIBN	0	Nekki.SF2.Core.API.Items.UpgradeIndexItem	0x0400039D	Index	0		1	1.000000	0.780000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Int32	System.Int32	mapped_field_type_exact|normalized_field_shape_equal|field_flags_equal|declaration_ordinal_exact|constant_equal|field_semantics_equal
Assembly-CSharp	method	ABGPMGKCLBF	0x06001243	PALCFKPEPPF	2	Nekki.SF2.Core.Fights.Model.Animation.Moves.Actions.ActionDelete	0x06000BE2	Parse	2	0x100B1F0	1	0.930000	0.470000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=1;mapped=1|switch_script_rva_joined
Assembly-CSharp	method	ACEHLJCDLKB	0x06002299	NPNLDNEFAFM	3	Nekki.SF2.Core.Utils.Perks.PerkActionChangeHitEffectScale	0x06002724	set_HitEffectScale	3	0xF69E50	1	0.970000	0.585000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Single)	System.Void(System.Single)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|property_event_semantics_equal|mapped_backing_field_link|android_il_field_refs=1;mapped=1|switch_script_rva_joined
Assembly-CSharp	method	ACEHLJCDLKB	0x0600229A	PALCFKPEPPF	4	Nekki.SF2.Core.Utils.Perks.PerkActionChangeHitEffectScale	0x06002725	Parse	4	0xF69E60	1	0.930000	0.545000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=6;mapped=4|android_il_literals=3|switch_script_rva_joined
Assembly-CSharp	method	ADCIAFCEOLE	0x0600127A	PALCFKPEPPF	2	Nekki.SF2.Core.Fights.Model.Animation.Moves.Actions.ActionTryOnEnd	0x06000C1E	Parse	2	0x100DFB0	1	0.930000	0.470000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=1;mapped=1|switch_script_rva_joined
Assembly-CSharp	method	ADGMLBFBLHA	0x06001273	PALCFKPEPPF	3	Nekki.SF2.Core.Fights.Model.Animation.Moves.Actions.ActionStopFollowEffect	0x06000C17	Parse	3	0x100DDE0	1	0.930000	0.446667	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=4;mapped=2|android_il_field_refs=2;mapped=1|android_il_literals=1|switch_script_rva_joined
Assembly-CSharp	field	AHGEFEJNIAB	0x04001464	value__	0	ConditionStatus	0x04001997	value__	0		1	1.000000	0.840000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Int32	System.Int32	mapped_field_type_exact|normalized_field_shape_equal|field_flags_equal|declaration_ordinal_exact|constant_equal|field_semantics_equal|meaningful_name_equal_supporting_only
Assembly-CSharp	method	BBAKODPKEPI	0x06001B2F	PALCFKPEPPF	1	Nekki.SF2.Core.Quests.Actions.QuestActionActivate	0x06001B76	Parse	1	0xD73830	1	0.930000	0.470000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=4;mapped=2|android_il_field_refs=2;mapped=1|android_il_literals=1|switch_script_rva_joined
Assembly-CSharp	method	BBNAHLALCBK	0x06001BA0	PALCFKPEPPF	1	Nekki.SF2.Core.Quests.Actions.QuestActionGiveCurrency	0x06001C01	Parse	1	0xD833D0	1	0.930000	0.446667	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=4;mapped=2|android_il_field_refs=3;mapped=2|android_il_literals=2|switch_script_rva_joined
Assembly-CSharp	method	BJEJMIMNJBP	0x06002162	PALCFKPEPPF	1	Nekki.SF2.Core.Utils.ShopOverrideConteyner	0x0600258E	Parse	1	0xEF3800	1	0.930000	0.640000	HIGH_CONFIDENCE	manual_reviewed_type	ACCEPTED	System.Void(System.Xml.XmlNode)	System.Void(System.Xml.XmlNode)	mapped_return_type_exact|mapped_parameter_types_exact|normalized_signature_equal|method_flags_equal|declaration_ordinal_exact|method_semantics_equal|android_il_call_refs=11;mapped=4|android_il_field_refs=4;mapped=4|android_il_literals=3|switch_script_rva_joined
