android_type	clean_type	evidence
JNPIOKEKMII	Achievement	XML field literals and complete field/method layout match Switch Achievement
MIMGGIPBGJH	GameCenter_Android	GameCenterAbstract override surface and explicit GameCenter_Android log literals identify platform implementation
MFDOJMEAPDN	QuestActionHideMapButton	QUEST_ACTION_HIDE_MAP_BUTTON factory case and map-button removal body identify action
PNODHDPKBMN	QuestActionChangePlayerAvatar	Avatar XML parse and player-avatar action body match Switch type
LIKEHAOJFBC	QuestActionDialogCheckTickets	Exact unobfuscated QUEST_ACTION_DIALOG_CHECK_TICKETS factory case
ENPLKJMLLIH	QuestActionDialogLottery	Exact unobfuscated QUEST_ACTION_DIALOG_LOTTERY factory case
DPFFGDMBLKB	QuestActionFight	Exact unobfuscated QUEST_ACTION_FIGHT factory case
JCKHNJBNBAJ	QuestActionVariable	Exact unobfuscated QUEST_ACTION_VARIABLE factory case
GINMCNPCIPN	QuestActionGotoZone	Exact unobfuscated QUEST_ACTION_GOTO_ZONE factory case
NHMCLALEPEK	QuestActionUpgrades	Exact unobfuscated QUEST_ACTION_UPGRADES factory case
HIKAHIOIHIA	QuestActionForge	Exact unobfuscated QUEST_ACTION_FORGE factory case
HGOLHBNDKFG	QuestActionShop	Exact unobfuscated QUEST_ACTION_SHOP factory case
JKHIBMJDLOA	QuestActionNews	Exact unobfuscated QUEST_ACTION_NEWS factory case
BBAKODPKEPI	QuestActionActivate	Exact unobfuscated QUEST_ACTION_ACTIVATE factory case
HHPAEJNAAMB	QuestActionChangeScene	Exact unobfuscated QUEST_ACTION_CHANGE_SCENE factory case
KIBHCBGJLMN	QuestActionChangeTab	Exact unobfuscated QUEST_ACTION_CHANGE_TAB factory case
BKCNEABMPHL	QuestActionGiveItem	Exact unobfuscated QUEST_ACTION_GIVE_ITEM factory case
KEHEFBGBNDH	QuestActionForceExecution	Exact unobfuscated QUEST_ACTION_FORCE_EXECUTION factory case
BBNAHLALCBK	QuestActionGiveCurrency	Exact unobfuscated QUEST_ACTION_GIVE_CURRENCY factory case
INJNCLFDJAG	QuestActionDeliver	Exact unobfuscated QUEST_ACTION_DELIVER factory case
NNCLPHKBNJD	QuestActionAttachFile	Exact unobfuscated QUEST_ACTION_ATTACH_FILE factory case
GGPAHMKFNCA	QuestActionRecount	Exact unobfuscated QUEST_ACTION_RECOUNT factory case
JONFNPIDLLE	QuestActionShowAd	Exact unobfuscated QUEST_ACTION_SHOW_AD factory case
DBOJBNAAOAD	QuestActionOpenUrl	Exact unobfuscated QUEST_ACTION_OPEN_URL factory case
NEMDLCHDOCA	QuestActionResetPerks	Exact unobfuscated QUEST_ACTION_RESET_PERKS factory case
FCPEMEFLGBB	QuestActionUpgradesCleanup	Exact unobfuscated QUEST_ACTION_UPGRADES_CLEANUP factory case
NCEILOIPOOE	QuestActionSessionSettings	Exact unobfuscated QUEST_ACTION_SESSION_SETTINGS factory case
PAHAIGEMJFP	QuestActionResetDuelTimer	Exact unobfuscated QUEST_ACTION_RESET_DUEL_TIMER factory case
EEEBABDLBJB	QuestActionSendStrangerStats	Exact unobfuscated QUEST_ACTION_SEND_STRANGER_STATS factory case
BPNIFLMLGHB	QuestActionSendDiscountStats	Exact unobfuscated QUEST_ACTION_SEND_DISCOUNT_STATS factory case
OLJMADEOLID	QuestActionSetCurrentZone	Exact unobfuscated QUEST_ACTION_SET_CURRENT_ZONE factory case
