old	new	status
AAADMLGMAHJ	_enemyPerks	applied_or_already_applied
AACAFOBANOH	UpgradeIndexItem	applied_or_already_applied
AACGHFEEMEL	upgradeLevel	applied_or_already_applied
AAEEJJMOFIL	IDString	applied_or_already_applied
AAEJIOAJIJH	OnText	applied_or_already_applied
AAFHICAIJMG	ParseQuickAttacks	applied_or_already_applied
AAHNBCOLFBE	DEFAYUL_FREQUENCY	applied_or_already_applied
AAMKHGHPMBF	_rounds	applied_or_already_applied
AAMPCHIDLHL	FindBest	applied_or_already_applied
AANFDPEBLME	_BattleName	applied_or_already_applied
AAOCLPPHGGN	CheckCountersStopFight	applied_or_already_applied
AAOCMMMCPJJ	EncodeBit	applied_or_already_applied
ABAOBKBHEEO	GetUseSafeAttackChance	applied_or_already_applied
ABBNBLGLEPC	_Enemies	applied_or_already_applied
ABDADPAPIGB	set_IsShock	applied_or_already_applied
ABFPMAEBIMM	GetItemFactor	applied_or_already_applied
ABGHNJGOEJL	_CurrentLife	applied_or_already_applied
ABGOLPFFHLM	IsThePriority	applied_or_already_applied
ABGPMGKCLBF	ActionDelete	applied_or_already_applied
ABJICHBHFMD	_playerItemRules	applied_or_already_applied
ABJMFKKDKLI	GetCrc32AndCopy	applied_or_already_applied
ABOGPMOOIDI	_power	applied_or_already_applied
ACCGMNKDBIP	GetBinary	applied_or_already_applied
ACEFNFKNMBJ	OnEndIntervals	applied_or_already_applied
ACEHLJCDLKB	PerkActionChangeHitEffectScale	applied_or_already_applied
ACFFKACBLHO	OnKeyRelease	applied_or_already_applied
ACIJOGJDMDI	_now	applied_or_already_applied
ACJJEPMLMLG	_isInited	applied_or_already_applied
ACKJAPNOCLF	ShowEnterScreen	applied_or_already_applied
ACLDJKMGIOJ	Part	applied_or_already_applied
ACLKNNJIIHF	GetPosLenPrice	applied_or_already_applied
ACMHFEDHBOE	GetCustomArgument	applied_or_already_applied
ACMOJHFLKFP	MaxUncompressedBlockSize	applied_or_already_applied
ACMOJMCKDKH	UpdateAdditionalDrawsLayer	applied_or_already_applied
ADCIAFCEOLE	ActionTryOnEnd	applied_or_already_applied
ADEDICCNBOM	set_UploadStream	applied_or_already_applied
ADGMLBFBLHA	ActionStopFollowEffect	applied_or_already_applied
ADHALNDIPGL	inst_array	applied_or_already_applied
ADJNAOFFIEB	vsScreen	applied_or_already_applied
ADJOBOBNGOL	IsNotCompare	applied_or_already_applied
ADKLFGEHLAK	OnActionComplete	applied_or_already_applied
ADLFECNNOCC	Disconnect	applied_or_already_applied
ADMPHLBENCA	PostCharIndex	applied_or_already_applied
ADNBJGMHKDK	LineBuffer	applied_or_already_applied
ADNMGFJGFHG	set_ProtectedUris	applied_or_already_applied
AEAMELPKADL	EndFightRaid	applied_or_already_applied
AECLBELKJIG	IsIgnoredEnemyAnimation	applied_or_already_applied
AECNPCBGMAJ	uriReplacer	applied_or_already_applied
AEMHFHJNKEC	GetQuaternion	applied_or_already_applied
AENMEFKKKDK	_Current	applied_or_already_applied
AFBEJLBKEDF	_DeliveryTime	applied_or_already_applied
AFCHOBKCHNE	GetInternalPath	applied_or_already_applied
AFHNFJLOGIC	time	applied_or_already_applied
AFLJGIPDJME	_AnimationContainer	applied_or_already_applied
AFLLJFBMKCJ	GetLoadBytes	applied_or_already_applied
AFOBBNEALPI	HasInterface	applied_or_already_applied
AGBGFJNDIJG	ChangeType	applied_or_already_applied
AGDDADEKPDC	_physicsRules	applied_or_already_applied
AGFAHLIMFBN	parse_table	applied_or_already_applied
AGFINJGJCPB	screenFight	applied_or_already_applied
AGGGJDKHOJE	ShiftBuffer	applied_or_already_applied
AGGLKCEGKNB	StrikeModel	applied_or_already_applied
AGGMKGGCMMB	GetRecipeByName	applied_or_already_applied
AGIDFKOJINI	CalculateResult	applied_or_already_applied
AGIGOJBLLJI	byteBuffer	applied_or_already_applied
AGJAFLFGHKE	mark	applied_or_already_applied
AGNINLMGLCF	preFight	applied_or_already_applied
AGPANLDMMDF	IsSafeDodges	applied_or_already_applied
AGPDMLPINAH	OnPressAnyKey	applied_or_already_applied
AGPIINPBJAG	GetByteArray	applied_or_already_applied
AHEGMJKJFGE	CapabilityTable	applied_or_already_applied
AHEHKMMOBCO	setSeed	applied_or_already_applied
AHGEFEJNIAB	ConditionStatus	applied_or_already_applied
AHIFMOKDJPG	LoadParameters	applied_or_already_applied
AHJEIOKJOJK	Frame	applied_or_already_applied
AHKMLIBFMLA	_Destination	applied_or_already_applied
AHKOJECABND	SEAL_SIZE	applied_or_already_applied
AHLMHDMHJCG	fragmentSize	applied_or_already_applied
AHLPODLKBEP	version	applied_or_already_applied
AHNCOKBLDDF	SetRandomRuleSeed	applied_or_already_applied
AHNLOHMAEMC	rigidPlayer	applied_or_already_applied
AHOEMOENNOI	_exit	applied_or_already_applied
AHPCKIHOBBD	QuestActionEclipseModeSwitchBackTutorial	applied_or_already_applied
AHPOLHHEJOA	EnableLoading	applied_or_already_applied
AIANEKPGCGG	set_Url	applied_or_already_applied
AICIGECAKDC	GetTacticByName	applied_or_already_applied
AIEGFACLFKE	_value	applied_or_already_applied
AIFJGMOCNCG	GameOver	applied_or_already_applied
AIJNHGGCMKH	QuestActionStoryTutorialLearnPerk	applied_or_already_applied
AIPKBMIIAPE	DeactivateInFightRule	applied_or_already_applied
AIPPNAPCBNE	ParseStringList	applied_or_already_applied
AJAHJEEKOOI	set_MarketID	applied_or_already_applied
AJFHCOFIDMG	FirstFrameIndex	applied_or_already_applied
AJMAAAJOKOD	set_NodesCount	applied_or_already_applied
AJMBHLNMBEI	data_type	applied_or_already_applied
AKCGPHILAKE	set_Node	applied_or_already_applied
AKIHENCKLPP	SetNewCryptoKey	applied_or_already_applied
AKJLKKIDFMB	CompileTacticsSettings	applied_or_already_applied
AKMBINDGPHO	Buy	applied_or_already_applied
AKOBIDNPJAO	ReadValue	applied_or_already_applied
ALAKNMCKLFI	Data	applied_or_already_applied
ALCOMOGKMMI	StopDialog	applied_or_already_applied
ALGEJHHNHAG	ChangeEnergy	applied_or_already_applied
ALJEEKOGHHC	Decode	applied_or_already_applied
ALKJAFICLJI	Table	applied_or_already_applied
ALNKMCPAEJJ	GET_ACCOUNTS	applied_or_already_applied
ALNLGEBOGFP	_obj	applied_or_already_applied
ALOKLPABCKJ	DecryptStringValue	applied_or_already_applied
AMAHMAEGLNN	GetCurrencyCount	applied_or_already_applied
AMAKLIMHEPE	AtlasesNames	applied_or_already_applied
AMCNEDEIMLG	AddTable	applied_or_already_applied
AMFMMNEOJCM	TransformExtensions	applied_or_already_applied
AMICCPKLFIG	element_type	applied_or_already_applied
AMKACGAJAFI	AssignAnchors	applied_or_already_applied
AMKFIJMKLIB	_type	applied_or_already_applied
AMKPAGCFMIN	Base	applied_or_already_applied
AMLHBKFFKAB	LoadFrom	applied_or_already_applied
AMNBONNKJEA	CompareKeys	applied_or_already_applied
AMNIBFPABBB	SetHasRandomSeed	applied_or_already_applied
ANCPKKDDBCL	BadCompressionThreshold	applied_or_already_applied
ANEIELJAOBJ	SetInverseLocationScale	applied_or_already_applied
ANFHBBCCHIF	IsGivenTemplateAnimation	applied_or_already_applied
ANGDLLEJBJK	_previousByte	applied_or_already_applied
ANHKAMGCLKF	get_RandomizingEnemyAnimation	applied_or_already_applied
